recency_days,log_recency,total_spent,log_total_spent,state_encoded,is_high_value,is_loyal
112,4.727387818712341,141.9,4.9621450849358215,25,1,0
115,4.7535901911063645,27.19,3.338967305126021,25,0,0
537,6.2878585601617845,86.22,4.46843366241462,23,0,0
321,5.7745515455444085,43.62,3.7981821890043865,13,0,0
288,5.666426688112432,196.89,5.287711320760812,25,1,0
146,4.990432586778736,166.98,5.123844924697481,25,1,0
132,4.890349128221754,35.38,3.5940191730899764,25,0,0
183,5.214935757608986,419.18,6.040683190895481,17,1,0
543,6.298949246855942,150.12,5.0180742231932545,18,1,0
170,5.14166355650266,129.76,4.87336358185601,9,1,0
408,6.013715156042802,29.0,3.4011973816621555,7,0,0
283,5.648974238161206,126.26,4.846232237804646,25,1,0
159,5.075173815233827,63.66,4.169142772297287,25,0,0
129,4.867534450455582,82.05,4.419442836059304,25,0,0
384,5.953243334287785,91.28,4.524827433305553,22,0,0
335,5.817111159963204,46.85,3.868071117898963,25,0,0
260,5.564520407322694,29.0,3.4011973816621555,10,0,0
234,5.459585514144159,36.68,3.629129449708162,25,0,0
377,5.934894195619588,257.44,5.554663558689965,25,1,0
66,4.204692619390966,78.42,4.374750225703106,8,0,0
9,2.302585092994046,27.75,3.3586377672433594,25,0,0
101,4.624972813284271,20.75,3.079613757534693,25,0,0
35,3.58351893845611,362.38,5.8954491186742946,25,1,0
415,6.030685260261263,325.93,5.789746080703296,22,1,0
177,5.181783550292085,61.8,4.139955073474153,25,0,0
363,5.8971538676367405,212.16,5.362043057428582,17,1,0
585,6.373319789577012,76.11,4.345232973844869,6,0,0
493,6.202535517187923,297.14,5.697563174842284,13,1,0
428,6.061456918928017,192.83,5.266981486238183,25,1,0
390,5.968707559985366,117.94,4.778619164278448,10,1,0
316,5.75890177387728,155.65,5.054014017398201,22,1,0
223,5.4116460518550396,99.82,4.6133367486544845,25,0,0
27,3.332204510175204,74.82,4.328362110088189,25,0,0
33,3.5263605246161616,122.07,4.812753299184245,4,1,0
498,6.212606095751519,58.86,4.0920085024245525,25,0,0
378,5.937536205082426,91.21,4.52406858455105,12,0,0
5,1.791759469228055,164.81,5.110842554513281,25,1,0
33,3.5263605246161616,37.58,3.652734007477583,25,0,0
188,5.241747015059643,27.0,3.332204510175204,22,0,0
200,5.303304908059076,87.71,4.485372622532496,25,0,0
121,4.804021044733257,197.27,5.289629738150471,12,1,0
426,6.056784013228625,36.73,3.6304555339762192,25,0,0
49,3.912023005428146,161.71,5.091969475151227,25,1,0
101,4.624972813284271,24.23,3.2280337626529665,22,0,0
265,5.583496308781699,135.08,4.913242948087606,18,1,0
68,4.23410650459726,63.33,4.1640260854229085,18,0,0
528,6.270988431858299,35.84,3.6065842113871063,25,0,0
521,6.257667587882639,237.81,5.475668256688571,24,1,0
64,4.174387269895637,124.32,4.830870466083991,25,1,0
154,5.043425116919247,107.44,4.686197024630465,25,0,0
21,3.091042453358316,92.18,4.5345331063886505,23,0,0
89,4.499809670330265,57.73,4.072950669534428,25,0,0
37,3.6375861597263857,214.08,5.371010051941477,25,1,0
158,5.0689042022202315,46.78,3.8666071418976635,25,0,0
259,5.560681631015528,354.87,5.874565495622438,25,1,0
235,5.4638318050256105,118.2,4.7808027546312495,25,1,0
307,5.730099782973575,257.87,5.556326005188326,18,1,0
184,5.220355825078325,217.74,5.38788380990708,18,1,0
325,5.786897381366708,218.66,5.3920808963602,6,1,0
575,6.3561076606958915,64.42,4.180828022110238,10,0,0
267,5.5909869805108565,38.09,3.6658666798048634,23,0,0
302,5.713732805509369,228.67,5.436643496028323,25,1,0
226,5.424950017481403,28.76,3.393165209964891,25,0,0
464,6.142037405587356,130.56,4.8794630213208565,25,1,0
140,4.948759890378168,52.38,3.9774361439763783,25,0,0
404,6.003887067106539,137.99,4.934401988096667,10,1,0
212,5.3612921657094255,109.79,4.707636517532581,25,1,0
196,5.2832037287379885,114.04,4.745279893972737,17,1,0
305,5.723585101952381,77.57,4.36398994718773,18,0,0
366,5.905361848054571,62.47,4.150567353318379,10,0,0
46,3.8501476017100584,536.6,6.28711478920894,7,1,0
434,6.075346031088684,109.78,4.707546252604958,26,1,0
693,6.542471960506805,144.94,4.983195578337474,25,1,0
44,3.8066624897703196,62.45,4.150252194160397,25,0,0
65,4.189654742026425,425.04,6.054533238574965,4,1,0
52,3.970291913552122,226.23,5.425962720383707,15,1,0
114,4.74493212836325,44.23,3.8117605834897517,10,0,0
110,4.709530201312334,546.12,6.304668156789841,25,1,0
225,5.420534999272286,21.77,3.125443880075648,25,0,0
475,6.16541785423142,42.62,3.775515760773483,22,0,0
385,5.955837369464831,162.77,5.098463004461776,17,1,0
211,5.356586274672012,109.5,4.705015520957808,4,1,0
213,5.365976015021851,237.0,5.472270673671475,22,1,0
278,5.631211781821365,65.78,4.201403634515509,12,0,0
215,5.375278407684165,443.73,6.09746735645105,10,1,0
521,6.257667587882639,143.73,4.974869937649514,25,1,0
413,6.025865973825314,228.79,5.437165848366845,15,1,0
150,5.017279836814924,107.81,4.689603241962921,4,1,0
24,3.2188758248682006,119.32,4.79015486020153,25,1,0
36,3.6109179126442243,181.82,5.208502062225673,4,1,0
16,2.833213344056216,157.46,5.065502195537096,9,1,0
166,5.117993812416755,36.98,3.63705970538414,25,0,0
15,2.772588722239781,216.32,5.381370921683322,10,1,0
23,3.1780538303479458,147.38,4.999776550761379,5,1,0
237,5.472270673671475,142.51,4.96640471918284,25,1,0
272,5.60947179518496,178.59,5.190676475030645,10,1,0
120,4.795790545596741,542.66,6.298324051462024,25,1,0
535,6.284134161070802,137.26,4.929135970517119,17,1,0
135,4.912654885736052,63.74,4.170379248498098,25,0,0
283,5.648974238161206,162.79,5.098585119494288,6,1,0
31,3.4657359027997265,77.59,4.364244464878084,25,0,0
114,4.74493212836325,103.47,4.648899948849417,18,0,0
314,5.752572638825633,433.98,6.075300053020214,18,1,0
160,5.081404364984463,259.15,5.561258387736313,25,1,0
228,5.43372200355424,354.37,5.873159500227444,18,1,1
271,5.605802066295998,85.04,4.454812304399529,1,0,0
35,3.58351893845611,62.91,4.157475843662191,25,0,0
497,6.210600077024653,64.42,4.180828022110238,10,0,0
446,6.102558594613569,52.38,3.9774361439763783,10,0,0
541,6.295266001439646,128.95,4.867149761087499,25,1,0
84,4.442651256490317,83.32,4.434619084793052,18,0,0
71,4.276666119016055,24.13,3.2240623515555007,10,0,0
393,5.976350909297934,112.33,4.730303916744857,25,1,0
367,5.908082938168931,76.18,4.346140356109473,25,0,0
14,2.70805020110221,82.65,4.426641427432833,25,0,0
22,3.1354942159291497,41.04,3.7386215460087504,10,0,0
244,5.501258210544727,32.77,3.5195728343974766,25,0,0
442,6.093569770045136,26.01,3.2962071678045244,6,0,0
541,6.295266001439646,109.04,4.700843936056374,25,1,0
42,3.7612001156935624,44.18,3.810654511039857,17,0,0
257,5.552959584921617,84.01,4.442768896629268,17,0,0
95,4.564348191467836,49.85,3.928880122494569,1,0,0
25,3.258096538021482,158.74,5.073547493489243,25,1,0
198,5.293304824724492,39.78,3.708191765146309,25,0,0
45,3.828641396489095,993.55,6.90229037355107,13,1,0
388,5.963579343618446,109.29,4.703113260318055,25,1,0
126,4.844187086458591,189.08,5.24744503617428,25,1,0
18,2.9444389791664403,198.7,5.296816240421769,18,1,0
120,4.795790545596741,68.22,4.237289838207198,22,0,0
516,6.248042874508429,127.98,4.859657353582231,25,1,0
150,5.017279836814924,1600.51,7.378702213175831,18,1,0
